Number,Question,Human_answer
894,According to the release notes of Eclipse 3.3 you can now join lines together with CRTL-ALT-J. This doesn't work for me running Eclipse 3.5 on a Mac. Does it work for anyone else? ,"For mac, there is no key binding assigned by default (I'm using Eclipse 3.5 for Mac). You can assign your own bind if you want eg: ⌘+Alt+J. Go to preferences (⌘+,) Navigation to ""General > Keys"" In the filter bar, search for ""join"". Click on the command ""Join Lines"" Click in the ""Binding"" box and then type the keys you wish to bind to this action. "
895,"Let's assume we have a simple internet socket, and it's going to send 10 megabytes (because I want to ignore memory issues) of random data through. Is there any performance difference or a best practice method that one should use for receiving data? The final output data should be represented by a byte[]. Yes I know writing an arbitrary amount of data to memory is bad, and if I was downloading a large file I wouldn't be doing it like this. But for argument's sake let's ignore that and assume it's a smallish amount of data. I also realise that the bottleneck here is probably not the memory management but rather the socket receiving. I just want to know what would be the most efficient method of receiving data. A few dodgy ways can think of is: Have a List and a buffer, after the buffer is full, add it to the list and at the end list.ToArray() to get the byte[] Write the buffer to a memory stream, after its complete construct a byte[] of the stream.Length and read it all into it in order to get the byte[] output. Is there a more efficient/better way of doing this? ","Just write to a MemoryStream and then call ToArray - that does the business of constructing an appropriately-sized byte array for you. That's effectively what a List&lt;byte&gt; would be like anyway, but using a MemoryStream will be a lot simpler. "
896,I want to create a iPhone chat application and i do not have any experience of socket programming so can u please help me understand How can i do long polling from iPhone application? Also can NSURLConnection be used for this purpose or we need to use some low level API? Are there any libraries available for the same? ,Check out CocoaAsyncSocket. 
897,I have a image here http://power.itp.ac.cn/~jmyang/funny/fun4.jpg and I want to display it in my Rails site. How should i do that? ,"You can also use the action view image_tag helper: &lt;%= image_tag 'http://power.itp.ac.cn/~jmyang/funny/fun4.jpg' %&gt; Alternatively you can just use the regular HTML tags: ERB: &lt;img src=""http://power.itp.ac.cn/~jmyang/funny/fun4.jpg""&gt; Haml: %img{ src: ""http://power.itp.ac.cn/~jmyang/funny/fun4.jpg"" } Slim: img src=""http://power.itp.ac.cn/~jmyang/funny/fun4.jpg"" "
898,Also I want to know how to add meta data while indexing so that i can boost some parameters ,Lucene indexes text not files - you'll need some other process for extracting the text out of the file and running Lucene over that. 
899,"I am wondering if you guys know different approach to disable an event for a while. Let me elaborate this more : Lets say I have a div or button which has a subscriber to its onclick event. To prevent the double click when the the methods are doing some ajax things, these are the some of the ways we can do : Disable the button till the method finishes its job Unbind till the methods finishes its job and then bind it again. Use some kind of flagging system like boolean so it will prevent method from working more than once. So is there any other ways, maybe some javascript tricks or jQuery tricks which is more efficient and better practice. Thanks in advance. ","I just add some class like 'disabled' to that div or button. And in my function registered to the onclick event, I check if that class is present. If yes, just return. Can't think of any other way other than what u have stated. "
900,"In my application I need to implement the address book which should contains the native addressbook details, and the user should be able to add and delete from the address book and it should be updated in the native iphone addressbook. I read somewhere that the iphone native address book database is accesible. In documentation also I saw that addContact and Delete API's are exposed to addressbook. Can anyone please tell me how can I access the native AddressBook of the iphone, and.. how to add and delete contacts from the address book? Can anyone post the sample code for this? ","You need to use ABRecords and ABAddressBook. For example, adding can be done: #import &lt;AddressBook/AddressBook.h&gt; ... ABRecordRef record = ABPersonCreate(); ABAddressBookRef addressBook = ABAddressBookCreate(); ABRecordSetValue(record, kABPersonFirstNameProperty, CFSTR(""Kevin""), NULL); ABRecordSetValue(record, kABPersonLastNameProperty, CFSTR(""Sylvestre""), NULL); ABAddressBookAddRecord(addressBook, record, NULL); ABAddressBookSave(addressBook, NULL); It is important that you add the AddressBook.Framework to your project (right click on 'Frameworks' > 'Add' > 'Existing Frameworks'). The documentation should give you enough to figure out how to remove, etc. "
901,"i create my own dialog form with two buttons (ok, cancel) and checked list box. i want to get all selected strings in first form which shown second form. for that purpose i do function GetSelected which return CheckedIndices->GetEnumerator() of my list box. now i want to deselect all strings on pressed cancel button. And deselect all strings on close form by pressing X in corner of form. how to track click the X? ", how to track click the X? You can use the FormClosed or FormClosing event 
902,"I am looking to use MS-Velocity a.k.a Appfabric Cache in a project that is starting by next month (so I am also assuming Q3 will have a go-live license). The project is a web application which will have at least 40K users in 6 months down. And we know for sure that cache server can be of only one node to start with and we will scale horizontally once the user base increases. After reading this article, I was wondering that if I have to use Velocity with HA on, can I run one node just to start with and increase the nodes in cluster as soon as the load increases? ","I think the next release will be a Release Candidate and will come with a Go Live license, so this is probably a sensible assumption ;-) Creating a cache with HA enabled from the start strikes me as quite a neat idea - while you've only got one server it'll behave as a normal cache, but when you scale out the HA bits will kick in instead of you having to re-create the cache. Bear in mind that you need Windows Server Enterprise Edition for HA. "
903,"I'm trying to open names.nsf in code. The piece of code has been working for a while but suddenly, I'm getting null. Any idea why? I don't seem to be getting any errors and I don't know how to work out what's wrong. I can open the database from the Notes client on the same machine. UPDATE Here's the code. The fields are initialised in the constructor. The null reference occurs on the .IsOpen() message. public class DominoPersonSearcher { private string _serverName; private string _databaseFileName; private string _password; private Domino.NotesDatabase OpenDatabase(out Domino.NotesSession notesSession) { notesSession = new Domino.NotesSessionClass(); notesSession.Initialize(this._password); Domino.NotesDatabase notesDatabase; notesDatabase = notesSession.GetDatabase(this._serverName, this._databaseFileName, false); if (!(notesDatabase.IsOpen)) { notesDatabase.Open(); } return notesDatabase; } This code is C# and runs on a web server; it's not inside a db - it's running outside of Notes, just calling into it. I've used this exact mechanism many times. It uses a .NET wrapper around the Lotus Domino Objects COM C:\notes\domobj.tlb called Interop.Domino.dll. Domino is installed on a different server. ","Returning null from getdatabase means you could not access the database. If you're running this as a java agent then it will run under your privileges. A server can be configured to restrict who can access databases via agents on a server. Try opening another database on the server that you have the same level of access to or a database you have manager access to. Doing this, checks to see if you can open databases via agents on the server. If you can't open this database either, then it sounds like a permission problem with the server. It's not the database itself, because you can access it via the Notes client. One way around it, is that you can can also tell the agent to run under the server's ID. This usually gets around access issues. The agent's security options is the last tab, on the ""agent properties"" dialog box. Note that this option can also be controlled via server settings, and you'll get an error message if you're not allowed to do this either. Let me know how you go.. "
904,when i run my application it is the error i get... This application has failed to start because the application configuration is incorrect. Reinstalling the application may fix this problem. (Exception from HRESULT: 0x800736B1) Description: An unhandled exception occurred during the execution of the current web request. Please review the stack trace for more information about the error and where it originated in the code. Exception Details: System.Runtime.InteropServices.COMException: This application has failed to start because the application configuration is incorrect. Reinstalling the application may fix this problem. (Exception from HRESULT: 0x800736B1) ,"Normally if you want to use interop with ASP.NET, you need to impersonate your web site as someone who actually has the right to run the application you want to interop (eg: Word, Excel..). &lt;identity impersonate=""true"" userName=""domain\user"" password=""password"" /&gt; "
905,"I have a window application which uses SP classes to create a site. I works fine on a system having Windows Server 2003 R2 with sharepoint installed. But it doesn't work on a system having XP installed and SharePoint not installed. The fact is that both of these systems are on a intranet. So I assumed that the NON-SP system would be able to run the code and create a site on the system having SP installed if all the required parameters (like serverLocation, domain, username, password) are provided. I did copied the DLLs to these NON-SP system and referenced them to build the project: Microsoft.SharePoint.dll microsoft.sharepoint.portal.dll Microsoft.SharePoint.Publishing.dll But this too didn't worked. What am I missing? Is my assumption wrong? ","That's wierd assuming that it would work. Microsoft.SharePoint.dll internally refers to dozen libraries and depends on files installed with sharepoint and database, created when installing SharePoint. Edit: Ohh, i understood - you wanted to access server from other machine with object model. As mentioned, you can't. But you can use SharePoint web services to interact with sharepoint. SharePoint 2010 also intredouces client object model that will allow you limited interaction with sharepoint from clientmachine from object model. "
906,"The hello world tutorial for Joomla states: $mainframe is a global variable in Joomla that has lots of useful methods attached to it. How do I find out what these methods are? I tried searching through their documentation, but I couldn't find any clues. ","The $mainframe object is ultimately an instance the JApplication class. The JApplication class is defined in libraries/joomla/application/application.php. Depending on whether you're in the administrator or frontend section of Joomla, the $mainframe object is a direct instance of JAdministrator or JSite respectively. These classes are in includes/application.php and administrator/includes/application.php. "
907,"I have a big project compiled into libProject.so-file (shared library), I made some modules (shared libraries too) which use code from all libProject. Can I set libProject as dependence for moduleProject.so file? (gcc) ","Sure, just link with it like any other library gcc -L/path/to/lib -lProject -o moduleProject.so "
908,Is there a way to open a URL in a new tab (in IE) from a cpp application without using DDE or shell execute ?? ,"In general, you want to do something like this (error checking excluded to save me typing): CoCreateInstance(CLSID_InternetExplorer, NULL, CLSCTX_LOCAL_SERVER, IID_IWebBrowser2, (void**)&amp;browser); browser-&gt;Navigate(bstrURL, &amp;vEmpty, &amp;vEmpty, &amp;vEmpty, &amp;vEmpty); browser-&gt;put_Visible(VARIANT_TRUE); "
909,"I've been examining one of my c# books and I just saw a sentence about Events in C#: &nbsp;The main purpose of events is to prevent subscribers from interfering with each other. Whatever it means, yeah actually events are working pretty much like delegates. I've been wondering why I should use events instead of delegates. So is there any one who can explain the bold part? Thanks in advance. ","The choice wouldn't really be between a delegate and an event - they're completely different things. You could, however, expose a public property or a public field which had a delegate type. I assume that's what you really mean. Suppose Button.Click were a public field or property instead of an event. One piece of code could then subscribe to an event, and another could then write: // Invalid with events, valid with properties button.Click = null; thus wiping out the original event handler. Likewise other code would also be able to invoke the event handlers: // Invalid with events, valid with properties button.Click(this, EventArgs.Empty); even though the button hadn't been clicked. This is clearly a violation of encapsulation. The only reason to expose Click to other code is to allow them to register interest in button clicks and register disinterest later - and those are exactly the abilities that events provide. Think of events as syntactic sugar around two methods. For example, if we didn't have events then Button would probably have: public void AddClickHandler(EventHandler handler) public void RemoveClickHandler(EventHandler handler) The violation of encapsulation goes away, but you lose some of the convenience - and everyone has to write their own methods like that. Events simplify this pattern, basically. "
910,"I've been developing .NET applications for 4 years. So far, I did not need to create any implicit conversions for the classes I authored. Could you provide real-life situations when you could not do without creating implicit conversions? Thank you ","Implicit conversions should only be defined when the type can be converted to or from (preferably to and from) another type with no loss of data. Another criterion is that implicit conversions should be fairly inexpensive, because the developer using your class probably won't be aware of when the implicit conversions are happening. One example: conversion between coordinate systems. A polar coordinate vector that can convert to cartesian coordinates, for example, might be convenient. However, due to floating point round off it would still be better to leave this as an explicit conversion so that the programmer has to typecast to force the conversion. Implicit conversion may be warranted if you have two data types that store data in the same format but the only distinction between the types is semantic - how they are used or what they mean. Real world example: Conversion between datetime data types that have the same (or compatible) underlying representation but differ only in epoc start date. You'll find these when migrating older codebases to newer frameworks where both define a datetime type but the semantics are slightly different. Implicit conversion here (assuming there is no data loss at all) is probably ok and a good idea. If you have a set of types and you have defined your own rules for how the types can be converted between each other, then some of those conversions may be implicit and some explicit depending on the ""severity"" of the conversion. The primary instance of where I've used implicit conversion when implementing a class in .NET was when I was implementing Win32 Variant semantics for the Delphi runtime library. Win32 and the Delphi language specify a number of conversions on Variant data that can be done implicity. That you have not found a need to create implicit conversions is actually a good thing. Just because you can doesn't mean you should. Implicit conversions exist in .NET primarily to allow different programming languages to represent their own semantics in a way that should be interoperable and understandable by other .NET languages. "
911,"this is the code: def create(request, form_class=MapForm, template_name=""maps/create.html""): map_form = form_class(request.POST or None) if map_form.is_valid(): map = map_form.save(commit=False) and the map_form is : class MapForm(forms.ModelForm): slug = forms.SlugField(max_length=20, help_text = _(""a short version of the name consisting only of letters, numbers, underscores and hyphens.""), #error_message = _(""This value must contain only letters, numbers, underscores and hyphens."")) ) def clean_slug(self): if Map.objects.filter(slug__iexact=self.cleaned_data[""slug""]).count() &gt; 0: raise forms.ValidationError(_(""A Map already exists with that slug."")) return self.cleaned_data[""slug""].lower() def clean_name(self): if Map.objects.filter(name__iexact=self.cleaned_data[""name""]).count() &gt; 0: raise forms.ValidationError(_(""A Map already exists with that name."")) return self.cleaned_data[""name""] class Meta: model = Map fields = ('name', 'slug', 'description') and i want to know : what is the 'map' used for ? updated: what is the 'map.members' mean ??? map.members.add(request.user) ","I am not sure which map you exactly mean, but if it is this: map = map_form.save(commit=False) then it is just a variable called map that holds an instance of the Map model/class. Whenever you save a model form, you get an instance of the respective model back. By using commit=False you explicitly say that this instance should not be saved into the database (now). This is mostly used to do something else with the model before you save it into the database. To refer to your question: The current user is related to the newly created map instance. As this has to be done in the view (to access the request that contains the user), the instance is not saved at first, the user is added, then the instance is saved. So if you want to save this instance you have to call the save() method on this instance manually: map = map_form.save(commit=False) # create instance from form data (validated) if some_condition_is_met: map.property = set_a_certain_value map.members.add(request.user) #relate current user to map map.save() # now save the model to the database But I would not name the variable map as Python has a builtin function named map(). If you try to call this function later in your code, it would probably raise a TypeError as you are overriding the functions name with an instance of some object. Read more about model forms. "
912,"public partial class Form1 : Form { //.... private void timer1_Tick(object sender, EventArgs e) { if (this.progressBar1.Value &gt;= 100) { this.timer1.Stop(); this.timer1.Enabled = false; } else { this.progressBar1.Value += 10; this.label1.Text = Convert.ToString(this.progressBar1.Value); } } //...... } Here I used a timer to update the progress bar value. It works fine in XP. But in Windows7 or Vista when the progress value is set to say 100 but the graphical progress is not 100! Searching some threads found that its for animation lag in Vista/Windows7. How to get rid of this thing? I don't want to loose the look and feel of Vista/Window7 using: SetWindowTheme(progressBar1.Handle, "" "", "" ""); ","public partial class Form1 : Form { //.... private void timer1_Tick(object sender, EventArgs e) { if (this.progressBar1.Value &gt;= 100) { this.timer1.Stop(); this.timer1.Enabled = false; } else { int tempValue = this.progressBar1.Value + 10; if (tempValue &lt; 100 &amp;&amp; tempValue &gt;=0 ) { this.progressBar1.Value = tempValue + 1; this.progressBar1.Value = tempValue; } else if (tempValue &gt;= 100) { this.progressBar1.Value = 100; this.progressBar1.Value = 99; this.progressBar1.Value = 100; } this.label1.Text = Convert.ToString(this.progressBar1.Value); } } //...... } The else part makes the progress bar looks OK now. But there should have been some standard way for progress bars. The idea is from from Fozi's comment here "
913,"Is there any ReSharper/StyleCop-like Visual Studio addon for C/C++? I'm using ReSharper and StyleCop addons every day. Just recently started a new project which involves C/C++ programming. I miss some features from these addons like code formatting, hints/tips to use cleaner and better code, documentation/uniform code requirements, optimizing includes and so on.... ",Visual Assist X is pretty much the de-facto for C++ programming in Visual Studio. 
914,i like to set timer for calculating execution time in c# for particular process in my execution. how can i do this ,You can use System.Diagnostics.Stopwatch to do what you want. 
915,"Take a look at http://www.pmverge.com at the ""We're in Bootstrap Mode"" DIV on the right-hand side. Having that background tile image is causing the IE browser (all versions) to drag when scrolling. What can I do to keep that tiled style but not have it slow down IE. background-image: url(http://blog.pmverge.com/assets/images/background.gif) NOTES The tile image is only a few pixels high and wide Yes this is the Stackoverflow.com engine as I'm licensing it. The background watermark image is not slowing the page down (though it has about 50k). ",Double the size of the image and see if you experience speed improvement. 
916,"I am having a div, which should be centre of the window, even after scrolling. How to achieve it http://www.flickr.com/photos/41695354@N08/4496376638/ ","You can do it with a fixed width positioned in center and with negative margins with half of the width and half of the height. So for a div with id your_div that is 200x200 in size, you'd do: #your_div { width: 200px; height: 200px; position: fixed; top: 50%; left: 50%; margin-left: -100px; margin-top: -100px; } "
917,"i want to integrate maps using map kit in iphone, and i am successful at that, but now the problem which i am facing is i have 2 locations coordinates, Location1 and Location2, now i want those two points to be shown on map but i want that they appear on the screen both at 1 time, means if they are very far then the zoom level goes to that point and show those two points on the map, if they are near to each other then zoom level shows from that angel (i mean very near). now i know that using longitude delta and latitude delta i can fix this problem, but i cant find a way to make it dynamic, so that i dont have to hardcode the delta value Any Help appreciated. Thanks ","CLLocationCoordinate2D centerCoordinate; centerCoordinate.latitude = (location1.latitude + location2.latitude) / 2; centerCoordinate.longitude = (location1.longitude + location2.longitude) / 2; MKCoordinateSpan span; span.latitudeDelta = ABS(location1.latitude - location2.latitude); span.longitudeDelta = ABS(location1.longitude - location2.longitude); [mapView setRegion:[mapView regionThatFits:MKCoordinateRegionMake(centerCoordinate, span)] animated:YES]; "
918,Im using a scroll view and need to make the view bigger so I can add the content that appears lower down but IB does allow me to do this? ,"Select the view, and then choose Tools > Size Inspector. Then change anything you want, basically. "
919,"i am using this code &lt;a onclick=""javascript:var t=setInterval(""GetUpdates(5,ajaxResult)"",300);""&gt;GetUpdates&lt;/a&gt; but getting the syntax error ","Try var t=setInterval(function(){GetUpdates(5,ajaxResult);},300); You are including a double quote inside the onclick event handler which is causing the problem. &lt;a onclick=""javascript:var t=setInterval(function(){GetUpdates(5,ajaxResult);},300);""&gt;GetUpdates&lt;/a&gt; "
920,I want to call a url with passing some parameter and i want to process the response coming from that url in javascript. ,"You're looking for AJAX. There are a number of exceptional libraries out there that take most of the work off your hands, I like jQuery, but have a used a few others (Prototype, Dojo etc). From the jQuery docs: $.get('ajax/test.html', function(data) { $('.result').html(data); alert('Load was performed.'); }); http://api.jquery.com/jQuery.get/ "
921,"I have written my code in following way in cocos2d. id actionTo = [CCFadeOut actionWithDuration:4.0f]; id actionTo0 = [CCSequence actionWithDuration:2.0f]; if (m &lt; enemyNumber) id actionTo1 = [CCCallFunc actionWithTarget:self selector:@selector(goToNextScene)]; else id actionTo1 = [CCCallFunc actionWithTarget:self selector:@selector(goToEndScene)]; id actionSeq = [CCSequence actions:actionTo, actionTo0, actionTo1, nil]; [targetE runAction: [CCSequence actions:actionSeq, nil]]; error: expected expression before 'id' I am getting the above error. Should not we use (id) in if condition ? I want to get called two selectors by using the if- else condition. How can I make it ? Thank You. ",It's simpler to write id actionTo1 = [CCCallFunc actionWithTarget:self selector: (m&lt;energyNumber ? @selector(goToNextScene) : @selector(goToEndScene))]; 
922,"I want to use both ContextLoaderListener (so that I can pass Spring Beans to my servlet) as well as DispatchServlet (Spring MVC). However, currently I have to pass init param to these both class initializer: &lt;param-name&gt;contextConfigLocation&lt;/param-name&gt; &lt;param-value&gt; /WEB-INF/spring/app-config.xml &lt;/param-value&gt; So, I use the same xml for these both classes. Wonder if it would lead to my beans being initialized twice? If yes, how would I do to avoid that? ","For both ContextLoaderListener and DispatcherServlet, the contextConfigLocation parameter is optional. ContextLoaderListener defaults to /WEB-INF/application.xml, DispatcherServlet defaults to /WEB-INF/servletname-servlet.xml. If you set these parameters explicitly, you should not set them to the same value. The ContextLoaderListener and DispatcherServlet should have contexts with different sets of bean definitions, since otherwise, as you say, the beans will be instantiated twice. "
923,"I have an idea and I want to apply it to my Application (C# .NET). When we connect to a DB (MS SQL Server 2008) in VS 2008, the ConnectionString saved in the Application Setting and it's a static varriable (no one can edit it unless you edit it inside VS 2008). I want a way to let my Application search for MS SQL Server and save it to Application Setting and use it to connect to my DB Programmatically. When my application start, the first thing to do is checking the ConnectionString if vaild, NOT Empty and test connection to MS SQL Server Successfully so if there is a proplem I think to show a window form to let the user enter some data like username and password for MS SQL Server 2008 Is there any way to do it? ","For instance you have a global variable called dbname, dbtype, uid, pwd; and assuming that you have a method HitTest(strConnectionString):bool which 'tries' to SELECT a table, and returns true if it finds valid number of rows; false for otherwise. When you start, the app should do following. Join dbname, uid and pwd, based upon dbtype and prepare a strConnectionString. Call HitTest(strConnectionString); If true, continue loading the app, else read more. Popup a dialog box asking for dbname, dbtype, uid, pwd. Goto 1. --EDIT-- See Enumerating Instances of SQL Server, and Enumerate SQL Server Instances in C#, Using ODBC "
924,"I've searched through the web and what I've found out is this: To make the compiler warn you of the details of which methods you used that were deprecated use the javac.exe -deprecation switch. Then look in the Javadoc for the deprecated methods to find out the recommended replacements. Sometimes you just have to rename. Sometimes the replacements work quite differently. But I'm not really understand how it works, can anybody help me with this? ","Method deprecation is done to warn programmers that the method is not currently the best one to use for the functionality that's desired. It's done by using the @deprecated javadoc annotation. When you use the -deprecated flag to javac, it's just telling javac to raise a warning when it sees these javadoc annotations. It tells you the line number where you used the deprecated method, and the name of the deprecated method. From there, it's up to you to look at the JDK's javadoc on Sun's (er...Oracle's) site to see what the recommendations are for getting the functionality you desire. Sometimes the replacement involves making multiple method calls, where you would have made just one in the past. Usually the documentation is good about giving you examples, and pointing you in the right direction when there's a new way of doing things. "
925,"I'd like to have a submit button that submits a different value than is displayed on the button. With &lt;input type=""submit""&gt; you can't seem to do this. With &lt;button type=""submit""&gt; however, these can be two different values. The question is, will it work in all browsers? Trying this test code here: &lt;form method=""get"" action=""""&gt; &lt;input type=""text"" name=""txt""/&gt; &lt;button type=""submit"" name=""btn"" value=""val""&gt;text&lt;/button&gt; &lt;/form&gt; In FF 3.6 it updates my address bar with both values appropriately (and responds to me pressing enter in the text box). In IE 8, it also accepts pressing enter, displays the text value in the address bar, but it doesn't show the button's value as a GET param at all... does that mean it's not submitting it? I can't use hidden inputs because I need to determine which button is clicked without JS. Test 2: &lt;form method=""get"" action=""""&gt; &lt;input type=""text"" name=""txt""/&gt; &lt;button type=""submit"" name=""submit1"" value=""submit1""&gt;submit&lt;/button&gt; &lt;input type=""submit"" name=""submit2"" value=""submit2""/&gt; &lt;input type=""submit"" name=""submit3"" value=""submit3""/&gt; &lt;/form&gt; In IE8, hitting enter does not submit any of the buttons, but clicking submit1 will send a value. It'll send ""submit"", not ""submit1"" which is inconsistent with FF. However, submitting the form only sends the value of one button in both browsers, which means I might be able to check which button was clicked by checking if GET['submitX'] exists instead! Chrome has slightly different behavior on pressing enter (submits button2). Opera seems consistent with FF... but all 4 browsers only ever submit one button. I don't have any earlier versions of the browsers installed though.... does anyone know if it works in earlier versions, particularly IE6? ","Oldish post but I think there is a solution that has been missed here. The button[type=submit] has always had problems with inconsistent behaviour, particularly with old IEs, and from @Mark's tests looks like we still have problems. Instead you can use two different values for the name attribute of the input[type=submit] and parse these server-side to get the correct action. For example, you can do: &lt;form method=""get"" action=""""&gt; &lt;input type=""text"" name=""txt""/&gt; &lt;input type=""submit"" name=""action[do_something]"" value=""Do Something Cool""/&gt; &lt;input type=""submit"" name=""action[do_another]"" value=""Do Something Dangerous""/&gt; &lt;/form&gt; Only the successful (clicked or default) name-value pair gets submitted so, say, in PHP you can easily do something like: &lt;?php if (isset($_GET['action']['do_something'])) { // do something } else { // do another thing } ?&gt; Note the default action will always be the first that appears in the source. "
926,"My web.xml is like &lt;web-app version=""2.4"" xmlns=""http://java.sun.com/xml/ns/j2ee"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://java.sun.com/xml/ns/j2ee http://java.sun.com/xml/ns/j2ee/web-app_2_4.xsd""&gt; &lt;display-name&gt;sample&lt;/display-name&gt; &lt;servlet&gt; &lt;servlet-name&gt;Sampleclass&lt;/servlet-name&gt; &lt;servlet-class&gt;sample.SampleClass&lt;/servlet-class&gt; &lt;/servlet&gt; &lt;servlet-mapping&gt; &lt;servlet-name&gt;Sampleclass&lt;/servlet-name&gt; &lt;url-pattern&gt;/SampleClass&lt;/url-pattern&gt; &lt;/servlet-mapping&gt; &lt;welcome-file-list&gt; &lt;welcome-file&gt;/page/form.jsp&lt;/welcome-file&gt; &lt;/welcome-file-list&gt; &lt;/web-app&gt; and form.jsp &lt;%@ page language=""java"" contentType=""text/html; charset=ISO-8859-1"" pageEncoding=""ISO-8859-1""%&gt; &lt;!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN""&gt; &lt;html&gt; &lt;head&gt; &lt;meta http-equiv=""Content-Type"" content=""text/html; charset=ISO-8859-1""&gt; &lt;title&gt;Insert title here&lt;/title&gt; &lt;/head&gt; &lt;body&gt; &lt;h1&gt;A simple web application&lt;/h1&gt; &lt;form method=""POST"" name=""Sampleclass"" action=""SampleClass""&gt; &lt;label for=""name""&gt;Enter your name &lt;/label&gt; &lt;input type=""text"" id=""name"" name=""name""/&gt;&lt;br&gt;&lt;br&gt; &lt;input type=""submit"" value=""Submit Form""/&gt; &lt;input type=""reset"" value=""Reset Form""/&gt; &lt;/form&gt; &lt;/body&gt; &lt;/html&gt; and SampleClass.java is public class SampleClass extends HttpServlet { public void init(ServletConfig config) throws ServletException { super.init(config); } protected void doPost(HttpServletRequest request, HttpServletResponse response) throws ServletException, IOException { String name = request.getParameter(""name""); String age = request.getParameter(""age""); PrintWriter out = response.getWriter(); out.write(""&lt;html&gt;Hello Your name is ""+name +"", and your age is ""+age+""&lt;/html&gt;""); } public void destroy() { } } but I am getting error when I entered to submit button of form.jsp and error is type Status report message HTTP method POST is not supported by this URL description The specified HTTP method is not allowed for the requested resource (HTTP method POST is not supported by this URL). I am not understanding that what is the problem exactly ? Please help.. ","Your web.xml and &lt;form&gt; are all perfectly fine. The servlet must be mapped on /servleturl and the form action must point to servleturl. The error message also proves that the servlet is perfectly found: message HTTP method POST is not supported by this URL You would otherwise have gotten a 404 Page Not Found (servlet not found) or maybe worse a 500 Internal Server Error (servlet failed to execute). The error you got basically means that there's no doPost() method. However, your code example do contain it. This can have only one cause: you are not running the servlet class version you think you are running. The one currently deployed does not have the doPost() method. Clean up everything, recompile/rebuild everything, redeploy the webapp, restart the server and try again. "
927,"I have to update one element on page with Ajax, do I have to make changes to server side, or is it possible to load whole page with jquery and then update only for example one element? ","You don't have to, and it is possible, but I would argue that you shouldn't. One of the advantages of AJAX is that you are pulling a fragment off the server, and thus a smaller payload. If you're pulling the entire page again, it will execute all the database queries, many of which will be unrelated to your element. You will also request all CSS/JS again, all text, etc. I would make a separate page for the individual fragment and request that via AJAX and update the element with just the returned result. However you can do it, and jQuery provides this through its load method: http://api.jquery.com/load/ Loading Page Fragments The .load() method, unlike $.get(), allows us to specify a portion of the remote document to be inserted. This is achieved with a special syntax for the url parameter. If one or more space characters are included in the string, the portion of the string following the first space is assumed to be a jQuery selector that determines the content to be loaded. "
928,"I have a function that returns a date from a stored procedure, and it all works great til the value is NULL, how can I fix this so it works with null aswell? public DateTime? GetSomteDate(int SomeID) { DateTime? LimitDate= null; if (_entities.Connection.State == System.Data.ConnectionState.Closed) _entities.Connection.Open(); using (EntityCommand c = new EntityCommand(""MyEntities.GetSomeDate"", (EntityConnection)this._entities.Connection)) { c.CommandType = System.Data.CommandType.StoredProcedure; EntityParameter paramSomeID = new EntityParameter(""SomeID"", System.Data.DbType.Int32); paramSomeID.Direction = System.Data.ParameterDirection.Input; paramSomeID.Value = SomeID; c.Parameters.Add(paramSomeID); var x = c.ExecuteScalar(); if (x != null) LimitDate = (DateTime)x; return LimitDate.Value; }; } ","after this line: var x = c.ExecuteScalar(); you can do this: return x as DateTime? If x is a DateTime value, then it will return that datetime, else (null, DbNull.Value) it will return null. "
929,"I have various objects in application,and each has isvalid method to test if values of all properties are set correctly(as per business rules).Now,to test that for each violation isvalid throws false,i will have to write as many tests as rules being checked in isvalid.Is there a simpler way to do this? I am using MBunit. ","I'm not sure what you'd want to be simpler. You may want to create a helper method to create a a valid object to start with, so that each test is something like: public void FooWithNullNameIsInvalid() { Foo foo = CreateValidFoo(); foo.Name = null; Assert.IsFalse(foo.IsValid); } Then each test is relatively small, tests one thing, and is easy to understand. Yes, this sort of thing can be somewhat monotonous, but it works. Another alternative to make the tests even shorter would be: private void AssertInvalidChange(Action&lt;Foo&gt; change) { Foo foo = CreateValidFoo(); change(foo); Assert.IsFalse(foo.IsValid); } Then each test can just be of the form: public void FooWithNullNameIsInvalid() { AssertInvalidChange(foo =&gt; foo.Name = null); } Now at that stage you could put all the validity tests in a single method, with one line per invalid change. That would certainly be simpler, but it would violate the ""only test one thing"" mantra. Personally I'm fairly loose with that - I would be fairly strongly tempted to do this. The downside is that if you have multiple tests that would fail, you'll only see one failure at a time. "
930,"I'm hesitating whether or not to use this mechanism. PHP Doc says autoloading is not available if using PHP in CLI interactive mode. So, should we avoid to use this method for just in case, your application get installed in a host happenly running PHP in CLI ? ","No, that's not what it means. CLI interactive mode is when you start the PHP interpreter in command-line without a script (eg. with php -a). You can use autoloading in your application without worries. "
931,I'm using .NET and I'm able to geolocate user city by IP. Is there easy way to get user timezone by long. and lat. or city name? I wonder how facebook is doing it? Thank You ,There is a web service you can use to get the timezone by city or longitude and latitude: http://www.earthtools.org/webservices.htm#timezone 
